exam	section	question	page	source	image	width	height
2026 수능	미적	27	11	평가원 수학/2026 수능/2026 수능 미적.pdf	평가원 수학/2026 수능/Questions/미적/2026 수능 미적 27번.png	1007	568
2026 수능	미적	28	11	평가원 수학/2026 수능/2026 수능 미적.pdf	평가원 수학/2026 수능/Questions/미적/2026 수능 미적 28번.png	974	740
2026 수능	미적	29	12	평가원 수학/2026 수능/2026 수능 미적.pdf	평가원 수학/2026 수능/Questions/미적/2026 수능 미적 29번.png	1017	918
2026 수능	미적	30	12	평가원 수학/2026 수능/2026 수능 미적.pdf	평가원 수학/2026 수능/Questions/미적/2026 수능 미적 30번.png	1017	815
2026 수능	기하	23	9	평가원 수학/2026 수능/2026 수능 기하.pdf	평가원 수학/2026 수능/Questions/기하/2026 수능 기하 23번.png	898	256
2026 수능	기하	24	9	평가원 수학/2026 수능/2026 수능 기하.pdf	평가원 수학/2026 수능/Questions/기하/2026 수능 기하 24번.png	1001	179
2026 수능	기하	25	10	평가원 수학/2026 수능/2026 수능 기하.pdf	평가원 수학/2026 수능/Questions/기하/2026 수능 기하 25번.png	990	344
2026 수능	기하	26	10	평가원 수학/2026 수능/2026 수능 기하.pdf	평가원 수학/2026 수능/Questions/기하/2026 수능 기하 26번.png	1015	458
2026 수능	기하	27	11	평가원 수학/2026 수능/2026 수능 기하.pdf	평가원 수학/2026 수능/Questions/기하/2026 수능 기하 27번.png	988	1199
2026 수능	기하	28	11	평가원 수학/2026 수능/2026 수능 기하.pdf	평가원 수학/2026 수능/Questions/기하/2026 수능 기하 28번.png	1016	1371
2026 수능	기하	29	12	평가원 수학/2026 수능/2026 수능 기하.pdf	평가원 수학/2026 수능/Questions/기하/2026 수능 기하 29번.png	982	1131
2026 수능	기하	30	12	평가원 수학/2026 수능/2026 수능 기하.pdf	평가원 수학/2026 수능/Questions/기하/2026 수능 기하 30번.png	981	503
2026 9모	공통	1	1	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 01번.png	911	267
2026 9모	공통	2	1	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 02번.png	952	284
2026 9모	공통	3	1	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 03번.png	1016	288
2026 9모	공통	4	1	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 04번.png	955	1045
2026 9모	공통	5	2	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 05번.png	1016	180
2026 9모	공통	6	2	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 06번.png	935	256
2026 9모	공통	7	2	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 07번.png	914	237
2026 9모	공통	8	3	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 08번.png	914	374
2026 9모	공통	9	3	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 09번.png	898	293
2026 9모	공통	10	3	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 10번.png	912	490
2026 9모	공통	11	4	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 11번.png	1014	789
2026 9모	공통	12	4	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 12번.png	929	542
2026 9모	공통	13	5	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 13번.png	1014	514
2026 9모	공통	14	5	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 14번.png	1005	1586
2026 9모	공통	15	6	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 15번.png	1014	775
2026 9모	공통	16	6	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 16번.png	869	283
2026 9모	공통	17	6	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 17번.png	864	147
2026 9모	공통	18	7	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 18번.png	587	283
2026 9모	공통	19	7	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 19번.png	953	147
2026 9모	공통	20	7	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 20번.png	1016	1920
2026 9모	공통	21	8	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 21번.png	1017	485
2026 9모	공통	22	8	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/공통/2026 9모 공통 22번.png	1016	756
2026 9모	확통	23	9	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/확통/2026 9모 확통 23번.png	915	235
2026 9모	확통	24	9	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/확통/2026 9모 확통 24번.png	912	451
2026 9모	확통	25	10	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/확통/2026 9모 확통 25번.png	1013	391
2026 9모	확통	26	10	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/확통/2026 9모 확통 26번.png	969	481
2026 9모	확통	27	11	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/확통/2026 9모 확통 27번.png	1017	391
2026 9모	확통	28	11	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/확통/2026 9모 확통 28번.png	1016	620
2026 9모	확통	29	12	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/확통/2026 9모 확통 29번.png	1019	853
2026 9모	확통	30	12	평가원 수학/2026 9모/2026 9모 확통.pdf	평가원 수학/2026 9모/Questions/확통/2026 9모 확통 30번.png	1017	1144
2026 9모	미적	23	9	평가원 수학/2026 9모/2026 9모 미적.pdf	평가원 수학/2026 9모/Questions/미적/2026 9모 미적 23번.png	913	221
2026 9모	미적	24	9	평가원 수학/2026 9모/2026 9모 미적.pdf	평가원 수학/2026 9모/Questions/미적/2026 9모 미적 24번.png	787	388
2026 9모	미적	25	10	평가원 수학/2026 9모/2026 9모 미적.pdf	평가원 수학/2026 9모/Questions/미적/2026 9모 미적 25번.png	1013	292
2026 9모	미적	26	10	평가원 수학/2026 9모/2026 9모 미적.pdf	평가원 수학/2026 9모/Questions/미적/2026 9모 미적 26번.png	995	433
2026 9모	미적	27	11	평가원 수학/2026 9모/2026 9모 미적.pdf	평가원 수학/2026 9모/Questions/미적/2026 9모 미적 27번.png	966	397
2026 9모	미적	28	11	평가원 수학/2026 9모/2026 9모 미적.pdf	평가원 수학/2026 9모/Questions/미적/2026 9모 미적 28번.png	1016	696
2026 9모	미적	29	12	평가원 수학/2026 9모/2026 9모 미적.pdf	평가원 수학/2026 9모/Questions/미적/2026 9모 미적 29번.png	1017	689
2026 9모	미적	30	12	평가원 수학/2026 9모/2026 9모 미적.pdf	평가원 수학/2026 9모/Questions/미적/2026 9모 미적 30번.png	1020	2822
2026 9모	기하	23	9	평가원 수학/2026 9모/2026 9모 기하.pdf	평가원 수학/2026 9모/Questions/기하/2026 9모 기하 23번.png	1016	237
2026 9모	기하	24	9	평가원 수학/2026 9모/2026 9모 기하.pdf	평가원 수학/2026 9모/Questions/기하/2026 9모 기하 24번.png	897	405
2026 9모	기하	25	10	평가원 수학/2026 9모/2026 9모 기하.pdf	평가원 수학/2026 9모/Questions/기하/2026 9모 기하 25번.png	1004	294
2026 9모	기하	26	10	평가원 수학/2026 9모/2026 9모 기하.pdf	평가원 수학/2026 9모/Questions/기하/2026 9모 기하 26번.png	1015	732
2026 9모	기하	27	11	평가원 수학/2026 9모/2026 9모 기하.pdf	평가원 수학/2026 9모/Questions/기하/2026 9모 기하 27번.png	871	554
